Descr. 1,Descr. 2,Comune,Provincia,Tipologia punto vendita,P.Iva,Email punto vendita,Agente,Link modulo precompilato
Farmacia Bressan Srl,,Santorso,VI,Farmacia,03419610245,brex@farmaciabressan.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Bressan%20Srl&r26540616401e4f999c44de10ddc004ee=Santorso&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03419610245&r1addcad129b44b3cb2220834a33335d5=brex%40farmaciabressan.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia San Lazzaro Snc,Dott. Campesato C. e Bilancioni B.,Vicenza,VI,Farmacia,04295940243,farmasanlazzaro@yahoo.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20San%20Lazzaro%20Snc&rc51bef4dd505413ebc19b4d510a3365a=Dott.%20Campesato%20C.%20e%20Bilancioni%20B.&r26540616401e4f999c44de10ddc004ee=Vicenza&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04295940243&r1addcad129b44b3cb2220834a33335d5=farmasanlazzaro%40yahoo.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
SANITARIA BENESSERE,di Marian Nicoletta,Motta di Livenza,TV,Sanitaria Ortopedia,05253470263,nicolettamarian46@gmail.com,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=SANITARIA%20BENESSERE&rc51bef4dd505413ebc19b4d510a3365a=di%20Marian%20Nicoletta&r26540616401e4f999c44de10ddc004ee=Motta%20di%20Livenza&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=05253470263&r1addcad129b44b3cb2220834a33335d5=nicolettamarian46%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Zoomsanitaria,di Alberto Masè,Tione di Trento,TN,Sanitaria Ortopedia,02692300227,zoomsanitaria@gmail.com,Lucca Paolo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Zoomsanitaria&rc51bef4dd505413ebc19b4d510a3365a=di%20Alberto%20Mas%C3%A8&r26540616401e4f999c44de10ddc004ee=Tione%20di%20Trento&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=02692300227&r1addcad129b44b3cb2220834a33335d5=zoomsanitaria%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Lucca%20Paolo
Farmacie Tre sas,Della dott.ssa Fuser Mariacecilia,Montebelluna,TV,Farmacia,04698810266,info@farmaciamontebelluna.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacie%20Tre%20sas&rc51bef4dd505413ebc19b4d510a3365a=Della%20dott.ssa%20Fuser%20Mariacecilia&r26540616401e4f999c44de10ddc004ee=Montebelluna&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04698810266&r1addcad129b44b3cb2220834a33335d5=info%40farmaciamontebelluna.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia SOLIGHETTO SNC,,PIEVE DI SOLIGO,TV,Farmacia,05113730260,farmaciasolighetto@gmail.com,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20SOLIGHETTO%20SNC&r26540616401e4f999c44de10ddc004ee=PIEVE%20DI%20SOLIGO&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=05113730260&r1addcad129b44b3cb2220834a33335d5=farmaciasolighetto%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia Marchioro S.N.C.,Dr. Liliana Fin & C.,Zanè,VI,Farmacia,03424860249,gio_mix@alice.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Marchioro%20S.N.C.&rc51bef4dd505413ebc19b4d510a3365a=Dr.%20Liliana%20Fin%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Zan%C3%A8&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03424860249&r1addcad129b44b3cb2220834a33335d5=gio_mix%40alice.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia San Pio X snc,della d.ssa Nadia Bastianello & C.,Salzano,VE,Farmacia,04728850274,sanpiox.salzano@gmail.com,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20San%20Pio%20X%20snc&rc51bef4dd505413ebc19b4d510a3365a=della%20d.ssa%20Nadia%20Bastianello%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Salzano&r8df9a2a8446640338ce40a1c53c513d7=VE&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04728850274&r1addcad129b44b3cb2220834a33335d5=sanpiox.salzano%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia Ai Due Pomi snc,del dott. Marco e Claudio Graziati,Treviso,TV,Farmacia,02417880263,Farmaciaaiduepomi@tin.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Ai%20Due%20Pomi%20snc&rc51bef4dd505413ebc19b4d510a3365a=del%20dott.%20Marco%20e%20Claudio%20Graziati&r26540616401e4f999c44de10ddc004ee=Treviso&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02417880263&r1addcad129b44b3cb2220834a33335d5=Farmaciaaiduepomi%40tin.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Il Bello delle Erbe di Dalla Tomba,Raffaella,Chiampo,VI,Erboristeria,04435160249,raffaelaerboristeria@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Il%20Bello%20delle%20Erbe%20di%20Dalla%20Tomba&rc51bef4dd505413ebc19b4d510a3365a=Raffaella&r26540616401e4f999c44de10ddc004ee=Chiampo&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04435160249&r1addcad129b44b3cb2220834a33335d5=raffaelaerboristeria%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Fontanin,,Cison di Valmarino,TV,Farmacia,04842930267,farmaciafontanin@gmail.com,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Fontanin&r26540616401e4f999c44de10ddc004ee=Cison%20di%20Valmarino&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04842930267&r1addcad129b44b3cb2220834a33335d5=farmaciafontanin%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Frizzera Dott.ssa Ilenia,Erboristeria Madre Natura,Mezzolombardo,TN,Erboristeria,02662240221,ilenia.frizzera@gmail.com,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Frizzera%20Dott.ssa%20Ilenia&rc51bef4dd505413ebc19b4d510a3365a=Erboristeria%20Madre%20Natura&r26540616401e4f999c44de10ddc004ee=Mezzolombardo&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02662240221&r1addcad129b44b3cb2220834a33335d5=ilenia.frizzera%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Parafarmacia Kemitalia di Milani Vilma,,Taglio di Pó,RO,Parafarmacia,01392600290,vilmamilani@tiscali.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Kemitalia%20di%20Milani%20Vilma&r26540616401e4f999c44de10ddc004ee=Taglio%20di%20P%C3%B3&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01392600290&r1addcad129b44b3cb2220834a33335d5=vilmamilani%40tiscali.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Dall’Ara Dott.ssa Francesca,Dall’Ara & C. S.A.S.,Valdagno,VI,Farmacia,04413960248,farmacia.dallara@libero.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Dall%E2%80%99Ara%20Dott.ssa%20Francesca&rc51bef4dd505413ebc19b4d510a3365a=Dall%E2%80%99Ara%20%26%20C.%20S.A.S.&r26540616401e4f999c44de10ddc004ee=Valdagno&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04413960248&r1addcad129b44b3cb2220834a33335d5=farmacia.dallara%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia all’ala d’oro Tuma srl,,Mestre,VE,Farmacia,04747660274,farmacis@allaladoro.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20all%E2%80%99ala%20d%E2%80%99oro%20Tuma%20srl&r26540616401e4f999c44de10ddc004ee=Mestre&r8df9a2a8446640338ce40a1c53c513d7=VE&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04747660274&r1addcad129b44b3cb2220834a33335d5=farmacis%40allaladoro.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Erboristeria Foglie di Fata,di Ilaria Fontana,Isola Vic.na,VI,Erboristeria,04425860246, ilaryfon93@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Foglie%20di%20Fata&rc51bef4dd505413ebc19b4d510a3365a=di%20Ilaria%20Fontana&r26540616401e4f999c44de10ddc004ee=Isola%20Vic.na&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04425860246&r1addcad129b44b3cb2220834a33335d5=ilaryfon93%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Al Casino SNC,Di Cattaneo Pierpaolo e Laura,Vicenza,VI,Farmacia,03355480249,farmaciaalcasino@sicurezzapostale.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Al%20Casino%20SNC&rc51bef4dd505413ebc19b4d510a3365a=Di%20Cattaneo%20Pierpaolo%20e%20Laura&r26540616401e4f999c44de10ddc004ee=Vicenza&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03355480249&r1addcad129b44b3cb2220834a33335d5=farmaciaalcasino%40sicurezzapostale.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacie Le Zare snc,,Carbonera,TV,Farmacia,03351430263,arezel@libero.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacie%20Le%20Zare%20snc&r26540616401e4f999c44de10ddc004ee=Carbonera&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03351430263&r1addcad129b44b3cb2220834a33335d5=arezel%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia Belvedere SNC,,Tezze sul brenta,VI,Farmacia,04093120246,farmacia.belvedere.vi@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Belvedere%20SNC&r26540616401e4f999c44de10ddc004ee=Tezze%20sul%20brenta&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04093120246&r1addcad129b44b3cb2220834a33335d5=farmacia.belvedere.vi%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Kalidea Sas,Di Kalogerakis Arianna,Schio,VI,Farmacia,04299460248,info@farmaciakalidea.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Kalidea%20Sas&rc51bef4dd505413ebc19b4d510a3365a=Di%20Kalogerakis%20Arianna&r26540616401e4f999c44de10ddc004ee=Schio&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04299460248&r1addcad129b44b3cb2220834a33335d5=info%40farmaciakalidea.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
MEDICAMENTA PUNTO SALUTE s.r.l.s.,,Padova,PD,Parafarmacia,05498560282,,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=MEDICAMENTA%20PUNTO%20SALUTE%20s.r.l.s.&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=05498560282&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Pharma snc di De Toffoli Meri,e Moresco Maria Pia,Schiavon,VI,Parafarmacia,03343200246,parafarmacianove@alice.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Pharma%20snc%20di%20De%20Toffoli%20Meri&rc51bef4dd505413ebc19b4d510a3365a=e%20Moresco%20Maria%20Pia&r26540616401e4f999c44de10ddc004ee=Schiavon&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03343200246&r1addcad129b44b3cb2220834a33335d5=parafarmacianove%40alice.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Piumelli snc,,Mestre,VE,Farmacia,03340640279,farmacia.piumelli@gmail.com,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Piumelli%20snc&r26540616401e4f999c44de10ddc004ee=Mestre&r8df9a2a8446640338ce40a1c53c513d7=VE&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03340640279&r1addcad129b44b3cb2220834a33335d5=farmacia.piumelli%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia Dott. Alessandro Veser,,Sovramonte,BL,Farmacia,01167900255,farmacia.veser@gmaio.com,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Dott.%20Alessandro%20Veser&r26540616401e4f999c44de10ddc004ee=Sovramonte&r8df9a2a8446640338ce40a1c53c513d7=BL&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01167900255&r1addcad129b44b3cb2220834a33335d5=farmacia.veser%40gmaio.com&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Punto Salute snc,,Conegliano,TV,Sanitaria Ortopedia,04920760263,Conegliano.salutestore@gmail.con,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Punto%20Salute%20snc&r26540616401e4f999c44de10ddc004ee=Conegliano&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=04920760263&r1addcad129b44b3cb2220834a33335d5=Conegliano.salutestore%40gmail.con&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia Pasqualini Sas,,Fara vicentino,VI,Farmacia,03606540247,farmaciapasqualini@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Pasqualini%20Sas&r26540616401e4f999c44de10ddc004ee=Fara%20vicentino&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03606540247&r1addcad129b44b3cb2220834a33335d5=farmaciapasqualini%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia ai Ciliegi snc,,Marostica,VI,Farmacia,04083420242,farmaciaaiciliegi@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20ai%20Ciliegi%20snc&r26540616401e4f999c44de10ddc004ee=Marostica&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04083420242&r1addcad129b44b3cb2220834a33335d5=farmaciaaiciliegi%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Parafarmacia Biondaro sas,,San Bonifacio,VR,Parafarmacia,03744030234,biondaroparafarmacia@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Biondaro%20sas&r26540616401e4f999c44de10ddc004ee=San%20Bonifacio&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03744030234&r1addcad129b44b3cb2220834a33335d5=biondaroparafarmacia%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmaci e salute,Dott.ssa Chiara Furlan,Bastia di Rovolon,PD,Farmacia,04381450289,chiara.furlan@virgilio.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmaci%20e%20salute&rc51bef4dd505413ebc19b4d510a3365a=Dott.ssa%20Chiara%20Furlan&r26540616401e4f999c44de10ddc004ee=Bastia%20di%20Rovolon&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04381450289&r1addcad129b44b3cb2220834a33335d5=chiara.furlan%40virgilio.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Carpenedo,Di Borin Anna Francesca e Donata Snc,Bassano del Grappa,VI,Farmacia,04495940241,info@farmaciacarpenedo.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Carpenedo&rc51bef4dd505413ebc19b4d510a3365a=Di%20Borin%20Anna%20Francesca%20e%20Donata%20Snc&r26540616401e4f999c44de10ddc004ee=Bassano%20del%20Grappa&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04495940241&r1addcad129b44b3cb2220834a33335d5=info%40farmaciacarpenedo.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Erboristeria Biancospino S.N.C.,di Sabaini Mara & c.,Verona,VR,Erboristeria,02258540232,erboristeria.biancospino@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Biancospino%20S.N.C.&rc51bef4dd505413ebc19b4d510a3365a=di%20Sabaini%20Mara%20%26%20c.&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02258540232&r1addcad129b44b3cb2220834a33335d5=erboristeria.biancospino%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
La Sanitaria Opitergina,di Michielotto Maurio & C. Sas,ODERZO,TV,Sanitaria Ortopedia,04915280269,sanitopitergina@gmail.com,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=La%20Sanitaria%20Opitergina&rc51bef4dd505413ebc19b4d510a3365a=di%20Michielotto%20Maurio%20%26%20C.%20Sas&r26540616401e4f999c44de10ddc004ee=ODERZO&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=04915280269&r1addcad129b44b3cb2220834a33335d5=sanitopitergina%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
